calc_energy_eV,ref_energy_eV,calc_gap_eV,ref_gap_eV
-4486.328535145873,-267.35070308,2.473,2.1903
-4485.556915965675,-267.15670122,2.5359999999999996,2.2052
-4482.688314762199,-267.54140797,2.486999999999999,2.1904
-4487.50264147044,-267.37312791,2.4850000000000003,2.1975
-4479.9348400976505,-266.71317979,2.495,2.1837
-4477.082919179517,-266.64440576,2.4959999999999996,2.1152
-4486.953105900955,-267.12894106,2.489,2.1092
-4480.339386675107,-267.03635617,2.524,2.2012
-4475.991103279125,-267.32786933,2.4939999999999998,2.1894
-4485.756428119531,-267.7770934,2.418,2.2105
-4488.81555170561,-267.73120231,2.5470000000000006,2.1825
-4485.721764592843,-266.49616585,2.444,2.164
-4481.580633364283,-267.56313199,2.5359999999999996,2.1677
-4488.953461740952,-267.60221836,2.4719999999999995,2.2348
-4475.251269844917,-265.25318345,2.495,2.1292
-4485.198032242406,-267.63816021,2.5759999999999996,2.2061
-4485.967415392247,-265.82906585,2.5139999999999993,2.1779
-4479.71396161937,-266.1993673,2.4639999999999995,2.1863
-4480.22779754265,-265.25870546,2.527,2.1088
-4486.528665536982,-266.21414973,2.4379999999999997,2.2005
-4491.105200680844,-266.55533592,2.4099999999999993,2.203
-4483.424456374572,-267.92482522,2.4750000000000005,2.179
-4486.80919978849,-266.96833674,2.4669999999999996,2.1576
-4484.647490040476,-265.3545731,2.49,2.0397
-4481.240772792154,-266.90636331,2.442,2.1025
-4480.201135703138,-266.86884992,2.4459999999999997,2.1807
-4489.55156764138,-266.36300272,2.543,2.1604
-4478.833919340348,-266.54340189,2.4850000000000003,2.1974
-4484.0954982066405,-266.77053898,2.5020000000000007,2.2201
-4485.702987287598,-266.11439008,2.3850000000000007,2.1369
-4485.716185866547,-267.25340735,2.5410000000000004,2.2138
-4481.81677534504,-265.38098665,2.54,2.2258
-4484.4090201852205,-268.10373337,2.5,2.2194
-4482.536370823388,-266.67479172,2.4880000000000004,2.1533
-4485.098692993302,-265.46611875,2.431,2.1756
-4485.336380870054,-267.15569564,2.4830000000000005,2.205
-4483.426913267235,-267.02356155,2.524,2.1709
-4482.144728011279,-266.84910718,2.567,2.1867
-4482.342596519308,-267.79999713,2.518,2.1308
-4484.983281104895,-267.80312509,2.5230000000000006,2.214
-4486.610875150415,-265.41714021,2.457,2.0451
-4482.330158692624,-266.93886726,2.4850000000000003,2.1399
-4481.249290380274,-266.44331013,2.45,2.1454
-4479.989624098574,-267.2433388,2.5220000000000002,2.1572
-4483.959149516287,-265.84323663,2.402,2.13
-4488.170611347617,-266.63123969,2.4859999999999998,2.17
-4479.755698481145,-266.09969004,2.5220000000000002,2.1716
-4488.215447792549,-267.60643736,2.466,2.1902
-4479.645123082215,-265.93988087,2.556,2.1941
-4482.368022288947,-267.14471321,2.4589999999999996,2.1683
-4486.1023206978825,-269.62971251,2.5749999999999993,2.2176
-4488.955605207153,-269.09413757,2.5329999999999995,2.1936
-4484.784965418549,-269.22289461,2.4779999999999998,2.2156
-4489.199785290451,-269.25299633,2.5470000000000006,2.2337
-4486.446663816362,-269.41768295,2.482,2.209
-4484.486109277271,-269.71189862,2.527,2.229
-4485.132810260392,-269.26239767,2.5229999999999997,2.1934
-4485.135755692949,-269.51556336,2.473,2.1899
-4487.809705785152,-268.79695262,2.497,2.1738
-4485.713941062693,-269.5229275,2.495,2.1826
-4487.957632197346,-269.51298334,2.5250000000000004,2.2224
-4491.193522862529,-269.43106019,2.4509999999999996,2.2204
-4483.73823840312,-269.16089389,2.5090000000000003,2.2131
-4486.482485816663,-269.84035408,2.474,2.2009
-4486.383976801919,-269.27956985,2.5680000000000005,2.1816
-4489.552754406126,-269.57795898,2.484,2.2189
-4484.98570852436,-269.8697421,2.4750000000000005,2.2342
-4480.357552311382,-269.12482395,2.49,2.162
-4485.782246488791,-268.94780768,2.534,2.1769
-4485.324229444026,-269.62602358,2.5309999999999997,2.1981
-4482.813409811246,-269.54922462,2.4750000000000005,2.2246
-4485.952117880165,-269.63617975,2.481,2.2075
-4487.932697770376,-269.04096152,2.5070000000000006,2.1754
-4482.963821094578,-269.38865967,2.532,2.1842
-4485.730161550983,-269.20975794,2.511,2.2328
-4490.171738079928,-269.58257558,2.487,2.2132
-4489.55727193353,-269.37192084,2.4970000000000008,2.2242
-4486.776347915354,-268.71246588,2.5109999999999992,2.1887
-4484.365238221507,-269.65324953,2.516,2.2078
-4486.8708620060725,-269.62980872,2.5340000000000007,2.2153
-4490.160772115492,-269.27198307,2.5149999999999997,2.2011
-4488.4404079368605,-269.39207641,2.4699999999999998,2.2144
-4486.4207065854935,-268.79546735,2.4699999999999998,2.2028
-4486.383741124376,-269.47486178,2.503,2.2309
